BLOCKING INTERSECTION,5
4000,5
DSPLYPLATE B,5
STOP/STAND PROHB,5
SIGN POSTED - NO PAR,4
RV-OVERNIGHT,4
IN PARK AFT HRS,4
8606B,4
5201A,4
OVERSIZED VEHICLE PA,4
LOADING ZONES,4
MORE 18-CURB,4
PARKING OUTSIDE PARK,3
PARK RESTRCD,3
4464,3
ABAND VEH/HIGHWAY,3
BLOCKING INTERSECTIO,3
PARKING/FRONT YARD 2,3
MISUSE/DP PRIVILEGE,3
22500D,3
PK ON PRIV ST,3
PARKING OUTSIDE OF S,3
22500C,3
PARK IN XWALK,3
CATERING VIOLATION,2
5200A1,2
8603B,2
PARK LOT - STRT/ALY,2
PK TRLR-PUBL AR,2
PK TRAILER 3,2
40001A,2
ANGLE PKD,2
NO COIN DEP IN METER,2
BLK RAIL PROHIB,2
22502B,2
UNINCORP AREA,2
FR FORGN JURIS,2
225111A,1
VIO-PERM/PARK,1
5204B,1
5201C,1
RESTRCTD ZONES,1
5201B,1
WRG VEH REGISTR,1
RGSTR CARD RQD,1
22500E1,1
5002,1
22500,1
22515A,1
21113C,1
TRAILER   6' HIGH,1
22500K,1
22658A,1
572521,1
21461,1
22502C,1
22521,1
572125D,1
PARK RED FLAG DAY,1
REAR/SD MIR RQD,1
DISABLED PERSON,1
PARK NEAR EMERG VEH,1
PARKED IN ELEC VEHICLE SPACE,1
PARALLEL PK RQD,1
OVERSIZED VEHICLE PARKING TOPHAM ST,1
OUTSIDE MARKER,1
OFF STREET/OVERTIME,1
MT FIRE RD NO PERMIT,1
MOB BILBD ADV DISP,1
PARKING-SNOW AREA,1
PK BYND TM LMTS,1
FAIL DEP COIN,1
PK NR FIRE HYDR,1
COMMERCIAL - UNDESIG,1
6FT OF RR TRACK,1
CLOSED MT FIRE RD,1
CATERING/W/I 200 FT,1
ABAND VEH/PUB/PRIV,1
PK TRAILER 2,1
8755*,1
POSITION OF PLATES,1
8071,1
80692A,1
PRK FLOOD CNTL CHANL,1
806910,1
8054,1
8049A,1
17104h,1
